insee,ville,lat,lon,date,tmin,tmax,pluie
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-09-30,8.9,19.6,0.2
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-01,7.2,20.9,0.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-02,8.4,19.7,0.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-03,12.2,20.1,10.7
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-04,11.4,16.5,19.3
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-05,10.6,16.4,3.9
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-06,10.2,17.6,3.0
3528885,St Malo,48.649518,-2.0260409,2025-09-30,12.0,19.5,0.0
3528885,St Malo,48.649518,-2.0260409,2025-10-01,8.2,22.1,0.0
3528885,St Malo,48.649518,-2.0260409,2025-10-02,10.4,20.5,0.0
3528885,St Malo,48.649518,-2.0260409,2025-10-03,12.2,22.6,7.8
3528885,St Malo,48.649518,-2.0260409,2025-10-04,12.5,16.1,13.9
3528885,St Malo,48.649518,-2.0260409,2025-10-05,12.1,16.6,2.7
3528885,St Malo,48.649518,-2.0260409,2025-10-06,12.4,17.7,2.0
140470,Bayeux,49.2764624,-0.7024738,2025-09-30,7.0,19.1,0.0
140470,Bayeux,49.2764624,-0.7024738,2025-10-01,8.2,20.6,0.0
140470,Bayeux,49.2764624,-0.7024738,2025-10-02,8.7,21.0,0.0
140470,Bayeux,49.2764624,-0.7024738,2025-10-03,12.6,20.6,9.9
140470,Bayeux,49.2764624,-0.7024738,2025-10-04,11.6,16.4,8.8
140470,Bayeux,49.2764624,-0.7024738,2025-10-05,11.1,16.1,1.1
140470,Bayeux,49.2764624,-0.7024738,2025-10-06,10.0,18.1,1.0
763510,Le Havre,49.4938975,0.1079732,2025-09-30,9.9,19.1,0.0
763510,Le Havre,49.4938975,0.1079732,2025-10-01,8.5,20.6,0.0
763510,Le Havre,49.4938975,0.1079732,2025-10-02,8.4,21.9,0.0
763510,Le Havre,49.4938975,0.1079732,2025-10-03,13.0,20.0,12.8
763510,Le Havre,49.4938975,0.1079732,2025-10-04,11.5,15.6,23.5
763510,Le Havre,49.4938975,0.1079732,2025-10-05,11.0,16.0,7.6
763510,Le Havre,49.4938975,0.1079732,2025-10-06,11.2,17.6,2.6
765400,Rouen,49.4404591,1.0939658,2025-09-30,8.4,20.4,0.0
765400,Rouen,49.4404591,1.0939658,2025-10-01,6.9,21.9,0.0
765400,Rouen,49.4404591,1.0939658,2025-10-02,6.1,22.1,0.0
765400,Rouen,49.4404591,1.0939658,2025-10-03,11.1,21.1,11.1
765400,Rouen,49.4404591,1.0939658,2025-10-04,11.6,15.4,19.9
765400,Rouen,49.4404591,1.0939658,2025-10-05,11.2,16.1,6.5
765400,Rouen,49.4404591,1.0939658,2025-10-06,10.6,18.6,2.0
751050,Paris,48.8534951,2.3483915,2025-09-30,10.2,20.6,0.0
751050,Paris,48.8534951,2.3483915,2025-10-01,11.1,19.6,0.0
751050,Paris,48.8534951,2.3483915,2025-10-02,10.2,19.0,0.0
751050,Paris,48.8534951,2.3483915,2025-10-03,11.9,18.6,6.0
751050,Paris,48.8534951,2.3483915,2025-10-04,11.4,15.4,13.5
751050,Paris,48.8534951,2.3483915,2025-10-05,10.7,15.1,0.5
751050,Paris,48.8534951,2.3483915,2025-10-06,10.5,17.6,0.2
800210,Amiens,49.8941708,2.2956951,2025-09-30,7.9,19.0,0.0
800210,Amiens,49.8941708,2.2956951,2025-10-01,6.5,20.0,0.0
800210,Amiens,49.8941708,2.2956951,2025-10-02,8.1,19.6,0.0
